Country,State,City,Society,Home Page,Facebook,Email,LogoFileName,Member
SE,,Halmstad,Blue Heart Blues,http://blueheartblues.com,https://facebook.com/BlueHeartBlues/,,blueheart.jpg,N
US,Virginia,Roanoke,Blue Ridge Blues Society,http://blueridgeblues.org,https://facebook.com/groups/76979827804/,bellablue22@verizon.net,blueridge.jpg,Y
US,Florida,Port Saint Lucie,Blues Alliance of the Treasure Coast,http://bluesalliance.org,https://facebook.com/bluesalliance,pattivibraphone@aol.com,treasurycoast.jpg,Y
MX,,Ixtapa-Zihuatanejo,Blues Appreciation Society - MX Chapter,,https://facebook.com/BluesRockMX/,,Ixtapa.jpg,N
PH,,Makati,Blues Asia Network,,https://facebook.com/BluesAsia,bluesasia@gmail.com,bluesasia.jpg,N
CH,,Geneva,Blues Association of Geneva,http://bagblues.ch,https://facebook.com/bagblues,info@bagblues.ch,bluesassociationofgeneva.jpg,N
AU,Queensland,Indooroopilly Centre,Blues Association of South East Queensland,http://baseqbrisbane.com,https://facebook.com/Blues-Association-of-South-East-Queensland-122699901086033,president@baseqbrisbane.com,southqueensland.jpg,N
US,Illinois,Bloomington,Blues Blowtorch Society,http://bluesblowtorch.org,https://facebook.com/BluesBlowtorchSociety,SteveTheHarp@aol.com,bluesblowtorch.jpg,Y
LU,,Heisdorf,Blues Club Luxembourg,http://bluesclub.lu,https://facebook.com/Blues-Club-Letzebuerg-288866297797768,ralphson@bluesclub.lu,letzebuerg.jpg,N
GR,,Athens,Blues GR,http://blues.gr,https://facebook.com/Blues.Gr,,bluesgr.jpg,N
US,Ohio,Marietta,Blues Jazz and Folk Music Society,http://bjfm.org,https://facebook.com/The-Blues-Jazz-and-Folk-Music-Society-of-the-Mid-Ohio-Valley-254568794439,blueshelen@live.com,midohiovalley.jpg,Y
US,California,San Diego,Blues Lovers United of San Diego,http://blusd.org,https://facebook.com/BLUSD.org,info@blusd.org,bluesloversofsandiego.jpg,Y
IE,,Enniscorthy,Blues Music Society Ireland,,https://facebook.com/bluessocietyireland,,ireland.jpg,N
BE,,Brussels,Blues On Daa Stoazze,http://bluesoandaastoazze.com,https://facebook.com/groups/44272759165/,,stoazze.jpg,N
AR,,Buenos Aires,Blues por AR,,https://facebook.com/BluesPorAR/,,AR.jpg,N
US,Pennsylvania,Steelton,Blues Society of Central Pennsylvania,http://bscpblues.org,https://facebook.com/bscpblues,Bluesmembership@gmail.com,bluessocietyofcentralpa.jpg,Y
NP,,Kathmandu,Blues Society of Nepal,,https://https://www.facebook.com/BluesSocietyNepal/,bluessocietynepal@gmail.com,nepali.jpg,N
US,West Virginia,Weirton,Blues Society of Northern West Virginia,http://bsnwv.com,https://facebook.com/Bsnwv/,tasey_kevin@yahoo.com,northernwestvirginia.jpg,Y
US,Florida,Pensacola,Blues Society of Northwest Florida,,https://facebook.com/BluesSocietyNWFL,bandmaster309@gmail.com,northwestflorida.jpg,Y
US,Nebraska,Omaha,Blues Society of Omaha,http://omahablues.com,https://facebook.com/BluesSocietyOfOmaha,hebegb50@gmail.com,bluessocietyofomaha.jpg,Y
US,Missouri,Springfield,Blues Society of the Ozarks,http://bluessocietyoftheozarks.com,https://facebook.com/BluesSocietyOfTheOzarks,brendaseely56@gmail.com,bluessocietyoftheozarks.jpg,Y
US,Oklahoma,Tulsa,Blues Society of Tulsa,http://bluessocietyoftulsa.com,https://facebook.com/bluessocietyoftulsa,bluessocietyoftulsa@cox.net,bluessocietyoftulsa.jpg,Y
US,Pennsylvania,Aliquippa,Blues Society of Western Pennsylvania,http://bswpa.org,https://facebook.com/bswpa,j.weber@bswpa.org,westernpennsylvania.jpg,Y
TW,,Taipei,Blues Society on Taiwan,,https://facebook.com/groups/bsotaiwan,dcr.bsot@gmail.com,bluessocietyoftawain.jpg,Y
US,Idaho,Boise,Boise Blues Society,http://boiseblues.org,https://facebook.com/BoiseBlues,kjharris@yahoo.com,boisebluessociety.jpg,Y
US,Massachutes,Norwood,Boston Blues Society,http://bostonblues.com,https://facebook.com/Boston-Blues-Society-119292354758915,paulmcneil@msn.com,boston.jpg,Y
BR,,Brasilia,Brazilian Blues Society,,https://facebook.com/SociedadeBlues,,brazil.jpg,N
CA,Ontario,Kincardine,Bruce County Blues Society,http://brucecountyblues.com,https://facebook.com/Bruce-County-Blues-Society-156489257718020,r.clarke@hurontel.on.ca,brucecounty.jpg,Y
BE,,Brussels,Brussels Blues Society,http://brusselsblues.eu,,winne.penninckx@skynet.be,brussels.jpg,N
DK,,Silkeborg,B'Sharp Silkeborg Rhythm & Blues Association,http://bsharp.dk,https://facebook.com/groups/30273274163,,silkeborg.jpg,Y
US,Pennsylvania,Levittown,Bucks County Blues Society,http://buckscountybluessociety.org,https://facebook.com/Bucks-County-Blues-Society-297898990229026,,buckscounty.jpg,Y
US,Arkansas,Leslie,Buffalo River Blues Society,,https://facebook.com/buffaloriverbluessociety,sdchide@yahoo.com,buffaloriverbluessociety.jpg,Y
CA,Ontario,Windsor,CA South Blues Society,http://bluessociety.ca,https://facebook.com/CA-South-Blues-Museum-282470875107309,Didier@placeconcorde.org,CAsouth.jpg,Y
CA,Ontario,Chatham-Kent,CA South Blues Society Chathem-Kent,http://CAsouthbluessocietyck.blogspot.ca,https://facebook.com/CASouthBluesSocietyChathamKent,rchristmas@xplornet.ca,CAsouthchathamkent.jpg,N
CA,British Columbia,Vancouver,Canadian Pacific Blues Society,http://canadianpacificblues.com,https://facebook.com/pg/canadianpacificpblues,,canadianpacific.jpg,N
AU,ACT,Canberra,Canberra Blues Society,http://canberrabluessociety.com.au,https://facebook.com/canberrabluessociety,contact@canberrabluessociety.com.au,canberra.jpg,N
US,North Carolina,Wilmington,Cape Fear Blues Society,http://capefearblues.org,https://facebook.com/CapeFearBlues,info@capefearblues.org,capefearblues.jpg,Y
US,Michigan,Okemos,Capital Area Blues Society,http://capitalareablues.org,https://facebook.com/CABSblues,cabsblues@gmail.com,capitalareablues.jpg,Y
US,New York,Albany,Capital Region Blues Network,http://crbn.org,https://facebook.com/bluesnetwork,bob@crbn.org,capitalregion.jpg,Y
ES,,Seville,Casa Del Bblues De Sevilla,http://casadelbluesdesevilla.com,https://facebook.com/CasaDelBluesDeSevilla,,seville.jpg,N
US,Oregon,Portland,Cascade Blues Association,http://cascadebluesassociation.org,https://facebook.com/groups/cascadebluesassociation/,slimlively@comcast.net,cascadeblues.jpg,Y
US,Delaware,Magnolia,Central Delaware Blues Society,http://centraldelawareblues.com,https://facebook.com/Central-Delaware-Blues-Society-144143712661763/,centraldelawareblues@comcast.net,centraldeleware.jpg,Y
US,Iowa,Des Moines,Central Iowa Blues Society,http://cibs.org,https://facebook.com/centraliowabluessociety,prez@cibs.org,centraliowablues.jpg,Y
US,Mississippi,Jackson,Central Mississippi Blues Society,http://centralmississippibluessociety.com,https://facebook.com/groups/134758873254380/,prblues@comcast.net,centralmississippi.jpg,Y
US,California,Sacramento,Central Valley Blues Society,http://cvblues.org,https://facebook.com/CentralValleyBluesSociety,,centralvalley.jpg,N
US,Virginia,Nellysford,Central Virginia Blues Society,http://centralvablues.org,https://facebook.com/Central-Virginia-Blues-Society-159772183506,centralvablues@gmail.com,centralvirginia.jpg,Y
US,West Virginia,Charleston,Charleston Blues Society,,https://facebook.com/CHARLESTON-WEST-VIRGINIA-BLUES-SOCIETY-74572610788/,,charlestonwv.jpg,N
US,North Carolina,Charlotte,Charlotte Blues Society,http://charlottebluessociety.org,https://facebook.com/groups/58888876959/,rick@charlottebluessociety.org,charlotte.jpg,Y
US,Illinois,Chicago,Chicago Blues Society,http://chicagobluessociety.org,https://facebook.com/chicagobluessociety,,chicago.jpg,N
US,Wisconsin,Eau Claire,Chippewa Valley Blues Society,http://chippewavalleyblues.com,https://facebook.com/tnblues,memorgan@triwest.net,chippewavalley.jpg,N
FR,,Arras,Ch'ti Blues Society,http://chtibluessociety.com,https://facebook.com/chtibluessociety,,chti.jpg,N
US,Ohio,Cincinnati,Cincy Blues Society,http://cincyblues.org,https://facebook.com/cincyblues,info@cincyblues.org,cincyblues.jpg,Y
US,Ohio,Broadview Hts.,Cleveland Blues Society,http://clevelandblues.org,https://facebook.com/groups/243332670477/,blues@clevelandblues.org,clevelandblues.jpg,Y
US,Florida,Jacksonnville,Coastal Blues Society,http://coastalbluessociety.org,https://facebook.com/coastalbluessociety,mike@mikekaufmann.com,coastal.jpg,N
CA,Ontario,Collingwood,Collingwood Jazz & Blues Society,http://collingwoodjazz.ca,https://facebook.com/CollingwoodJazzandBlues,info@collingwoodjazz.ca,collingwood.jpg,N
CO,,Cali,Colombian Blues Society,http://carloselliotjr.com/CBS,https://facebook.com/ColombianBluesSociety,cobluessociety@yahoo.com,colombianblues.jpg,Y
US,Colorado,Windsor,Colorado Blues Society,http://coblues.com,https://facebook.com/coblues,cjc1951_44@hotmail.com,coloradoblues.jpg,Y
US,Ohio,Columbus,Columbus Blues Alliance,http://columbusblues.com,https://facebook.com/Columbus.Blues.Alliance,colsblues@gmail.com,columbusblues.jpg,Y
US,Connecticut,Enfield,Connecticut Blues Society,http://ctblues.org,https://facebook.com/groups/297066571782/,jakecat39@gmail.com,connecticut.jpg,Y
CR,,Playas del Coco,Costa Rica Blues Society,,https://facebook.com/costaricablues,,costarica.jpg,N
HR,,Zagreb,Croatian Blues Forces,http://croblues.com,https://facebook.com/CroatianBluesForces,hrepa@yahoo.com,croatianbluesforces.jpg,Y
US,Illinois,Byron,Crossroads Blues Society of Illinois,http://crossroads.myfreesites.net,https://facebook.com/groups/crossroadsbluessociety/,sub_insignia@yahoo.com,crossroads.jpg,Y
US,Ohio,Dayton,Dayton Blues Society,http://daytonbluessociety.com,https://facebook.com/daytonbluessociety,Jeff@daytonbluessociety.com,daytonblues.jpg,Y
US,Distric of Columbia,Washington,DC Blues Society,http://dcblues.org,https://facebook.com/The-DC-Blues-Society-102565061281,,dcblues.jpg,Y
US,Illinois,Decatur,Decatur Blues Society,http://decaturblues.org,https://facebook.com/Decatur-Blues-Society-271183220471,Decaturbluessociety@yahoo.com,decatur.jpg,Y
US,Colorado,Englewood,Denver Blues Society,,https://facebook.com/DenverBlues,,denver.jpg,N
US,Michigan,Goodrich,Detroit Blues Society,http://detroitbluessociety.org,https://facebook.com/DetroitBluesSociety,rjspangler@detroitbluessociety.org,detroitblues.jpg,Y
US,Delaware,Middletown,Diamond State Blues Society,http://diamondstateblues.com,https://facebook.com/groups/370701902486/,mrbluz2@aol.com,diamondstate.jpg,Y
NL,,Leiden,Dutch Blues Foundation,http://dutchbluesfoundation.com,https://facebook.com/Dutch-Blues-Foundation-324874810010,office@dutchbluesfoundation.com,dutch.jpg,Y
CA,Nova Scotia,Halifax,East Coast Blues Society,http://eastcoastblues.ca,https://facebook.com/East-Coast-Blues-Society-Sunday-Jam-205569081137,info@eastcoastblues.ca,eastcoast.jpg,Y
CA,Alberta,Edmonton,Edmonton Blues Society,http://edmontonbluessociety.net,https://facebook.com/groups/18944666912/,president@EdmontonBluesSociety.net,edmonton.jpg,Y
EG,,Cairo,Egyptian Blues Society,,https://facebook.com/BluesEgy,,egyptian.jpg,N
US,Texas,El Paso,El Paso Blues Society,,https://facebook.com/El-Paso-Blues-Society-186418554727138,epbluessociety@gmail.com,elpaso.jpg,N
BE,,Brussels,European Blues Union,http://bluesyou.com,https://facebook.com/europeanbluesunion,info@europeanbluesunion.com,europeanbluesunion.jpg,N
FI,,Helsinki,Finnish Blues Society,http://bluesnews.fi,https://facebook.com/Finnish-Blues-Society-Blues-News-Magazine-116160888493616,,finnish.jpg,Y
US,Florida,Jacksonville,First Coast Blues Society,http://firstcoastbluessociety.com,https://facebook.com/firstcoastblues/,firstcoastbluesvp@gmail.com,firstcoast.jpg,Y
US,Montana,Kalispell,Flathead Valley Blues Society,http://flatheadvalleyblues.org/,https://facebook.com/FVBSMissoula,,flatheadvalley.jpg,N
US,Florida,Fort Pierce,Fort Pierce Jazz & Blues Society,,https://facebook.com/Fort-Pierce-Jazz-Blues-Society-132982200067741,info@jazzsociety.org,fortpierce.jpg,N
US,Arkansas,Fort Smith,Fort Smith Riverfront Blues Society,,https://facebook.com/FortSmithRiverfrontBluesFestival,fsmbluesfest@gmail.com,ftsmithriverfront.jpg,Y
FR,,Mantes la Jolie,France Blues,http://franceblues.com,https://facebook.com/franceblues/,president@franceblues.com,france.jpg,Y
CA,British Columbia,Abbotsford,Fraser Valley Blues Society,http://fraservalleybluessociety.com,https://facebook.com/fraservalleybluessociety,info@fraservalleybluessociety.com,fraservalley.jpg,Y
US,Virginia,Fredericksburg,Fredericksburg Blues Society,,https://facebook.com/FredericksburgBluesSociety,fredbluesorg@gmail.com,fredericksburg.jpg,N
US,California,San Francisco,Golden Gate Blues Society,http://tggbs.org,https://facebook.com/TGGBS,info@tggbs.org,godengate.jpg,Y
SE,,Gothenburg,Gothenburg Blues Society,http://gbgblues.se,https://facebook.com/G%C3%B6teborgs-Bluesf%C3%B6rening-official-210706285629363/,,gothenburg.jpg,N
US,Colorado,Winter Park,Grand County Blues Society,http://grandblues.org,https://facebook.com/grandcountyblues,info@grandblues.org,grandcounty.jpg,Y
CA,Ontario,Waterloo,Grand River Blues Society,http://grandriverblues.org,https://facebook.com/Grand-River-Blues-Society-408160155868047,info@grandriverblues.org,grandriver.jpg,Y
US,New Hampshire,Bedford,Granite State Blues Society,http://granitestateblues.org,https://facebook.com/GraniteStateBlues,info@granitestateblues.org,granitestate.jpg,Y
CA,Ontario,London,Great Lakes Blues Society,http://greatlakesbluessociety.com,https://facebook.com/Great-Lakes-Blues-Society-London-Ontario-707088229348776,david@greatlakesbluessociety.com,greatlakes.jpg,Y
US,Wisconsin,Wausau,Great Northern Blues Society,http://gnbs.org,https://facebook.com/Great-Northern-Blues-Society-201681787010,gnbs@gnbs.org,greatnorthern.jpg,Y
US,Ohio,Lima,Greater Allen County Blues Society,,https://facebook.com/groups/235973476460482/,,allen.jpg,N
US,Missouri,West Plaines,Greater Ozarks Blues Society,,https://facebook.com/GreaterOzarksBluesSociety,nathancogden@gmail.com,greaterozarks.jpg,N
US,Alabama,Spanish Ft,Gulf Coast Blues Society,,https://facebook.com/Gulf-Coast-Blues-Society-136012861121,Gcbluessoc@gmail.com,gulfcoast.jpg,Y
CA,Ontario,Hamilton,Hamilton Blues Lovers,http://blueshamilton.blogspot.com,https://facebook.com/blueshamilton,blueshamilton@gmail.com,hamiltonblueslovers.jpg,N
CA,Ontario,Hamilton,Hamilton Blues Society,,https://facebook.com/HamiltonBluesSociety,bigjohnnyblue13@gmail.com,hamiltonbluessociety.jpg,N
NZ,,Hamilton,Hamilton Blues Society,,https://facebook.com/Hamilton-Blues-Society-NZ-156781281003675,,hamiltonbluesnz.jpg,N
US,Hawaii,Honolulu,Hawaii Blues Society,,https://facebook.com/HawaiiBluesSociety,,hawaii.jpg,N
US,Texas,Houston,Houston Blues Society,http://houstonbluessociety.org,https://facebook.com/groups/349570915928,info@houstonbluessociety.org,houston.jpg,Y
US,West Virginia,Barboursville,Huntington Blues Society,http://huntingtonbluessociety.com,https://facebook.com/HuntingtonBluesSociety/,contact@huntingtonbluessociety.com,huntington.jpg,Y
US,Illinois,Springfield,Illinois Central Blues Club,http://icbluesclub.org,https://facebook.com/groups/175620630362/,mikerapier@sbcglobal.net,illinoiscentral.jpg,Y
US,Iowas,Davenport,Illowa Women in Blues,,https://facebook.com/illowawomeninblues/,,illowa.jpg,N
US,Indiana,Shelbyville,Indiana Blues Preservation Society,,https://facebook.com/IndianaBluesLLC,,indianabluespreservation.jpg,N
US,Indiana,Noblesville,Indy Crossroads Blues Society,,https://facebook.com/IndianaBluesSociety,peastham3@gmail.com,indiana.jpg,Y
US,Washington,Spokane,Inland Empire Blues Society,http://ieblues.org,https://facebook.com/Inland-Empire-Blues-Society-102287286509896,dejablues1@comcast.net,inlandempire.jpg,Y
IE,,Dublin,Irish Blues & Jazz Appreciation Society,,https://facebook.com/IrishBluesJazz,,irelandjazzblues.jpg,N
IL,,Tel Aviv,Israel Blues Society,,https://facebook.com/IsraelBluesSociety,,israel.jpg,Y
US,New Jersey,Red Bank,Jersey Shore Jazz and Blues Foundation,http://jsjbf.org,https://facebook.com/JSJBF,info@jsjbf.org,jerseyshore.jpg,Y
US,Georgia,Atlanta,Jus' Blues Music Foundation,http://jusblues.org/,https://facebook.com/Jus-Blues-Music-Foundation-116657152852/,,jusblues.jpg,N
US,Michigan,Kalamazoo,Kalamazoo Valley Blues Association,http://kvba.org,https://facebook.com/Kzooblues,kvba@kvba.org,kallamazoo.jpg,Y
US,Missouri,Kansas City,Kansas City Blues Society,,https://facebook.com/kansascitybluessociety,kcbluessociety@gmx.com,kansascity.jpg,Y
ID,,Karawang,Karawang Blues Society,,https://facebook.com/karawangbluessociety,,karawang.jpg,N
US,Kentucky,Louisville,Kentuckiana Blues Society,http://kbsblues.org,https://facebook.com/KBSBlues,info@kbsblues.org,kentuckiana.jpg,Y
US,Kentucky,Bowling Green,Kentucky Blues Society,http://kentuckyblues.com,https://facebook.com/groups/kyblues/,kyblues@gmail.com,kentucky.jpg,Y
US,California,Bakersfield,Kern River Blues Society,,https://facebook.com/Kern-River-Blues-Society-179851418545,kernriverbluessociety@gmail.com,kernriver.jpg,N
CA,Ontario,Kingston,Kingston Blues Society,http://kingstonbluessociety.ca,https://facebook.com/groups/kingstonbluessociety,,kingston.jpg,N
CA,British Columbia,Nelson,Kootenay Blues Society,,https://facebook.com/kootenaybluessociety,,kootenay.jpg,N
US,Kentucky,Somerset,Lake Cumberland Blues Society,http://lakecumberlandbluessociety.com,https://facebook.com/lakecumberlandbluessociety,Ron@lakecumberlandbluessociety.com,lakecumberland.jpg,N
US,Missouri,Camdenton,Lake of the Ozarks Blues Society,http://bluessocietyoftheozarks.com,https://facebook.com/BluesSocietyOfTheOzarks,news@lotobs.org,lakeoftheozarks.jpg,Y
US,Nevada,Las Vegas,Las Vegas Blues Society,http://lasvegasblues.org/,https://facebook.com/groups/789569637802971/,,lasvegas.jpg,Y
LV,,LiepÄja,Latvian Blues Appreciation Society,,https://facebook.com/Latblues/,,latvian.jpg,N
AU,Tasmania,Launceston,Launceston Blues Club,http://launcestonbluesclub.org,https://facebook.com/Launceston.Blues.Club/,launcestonbluesclub@yahoo.com.au,launceston.jpg,N
US,Pennsylvania,Leigh Valley,Lehigh Valley Blues Network,http://lvbn.org,https://facebook.com/groups/375847779376/,info@lvbn.org,lehighvalley.jpg,N
US,Iowa,Cedar Rapids,Linn County Blues Society,http://lcbs.org,https://facebook.com/LinnCountyBluesSociety,,linncounty.jpg,Y
US,Iowa,Fort Dodge,Lizard Creek Blues Society,http://lizardcreekblues.org,https://facebook.com/lizardcreekblues,bobwood@frontiernet.net,lizardcreek.jpg,Y
US,New York,Centereach,Long Island Blues Society,http://libsny.com,https://facebook.com/LongIslandBluesSociety,info@liblues.org,longisland.jpg,Y
US,California,South El Monte,Los Angeles Blues Society,http://lablues.org,https://facebook.com/Los-Angeles-Blues-Society-202651736125,info@lablues.org,losangeles.jpg,N
US,South Carolina,Charleston,Lowcountry Blues Club,http://lowcountrybluesclub.blogspot.com,https://facebook.com/LowcountryBluesClub,lowcountrybluesclub@gmail.com,lowcountry.jpg,Y
CA,Ontario,Carrying Place,Loyal Blues Fellowship,http://loyalblues.ca,https://facebook.com/Loyal-Blues-Fellowship-Inc-116422155101492,festival@loyalblues.ca,loyalblues.jpg,N
US,Wisconsin,Madison,Madison Blues Society,http://madisonbluessociety.com,https://facebook.com/Madison-Blues-Society-239198072823140,info@madisonbluessociety.com,madison.jpg,Y
US,Alabama,Birmingham,Magic City Blues Society,http://magiccityblues.org,https://facebook.com/MagicCityBluesSociety,info@magiccityblues.org,magiccity.jpg,Y
US,Maine,Portland,Maine Blues Society,http://mainebluessociety.com,https://facebook.com/MaineBluesSociety,mainebluessoc@gmail.com,maine.jpg,Y
CA,Manitoba,Winnipeg,Manitoba Blues Society,,https://facebook.com/groups/Manitobablues/,,manitoba.jpg,N
US,Michigan,Marquette,Marquette Area Blues Society,http://marquetteareabluessociety.com,https://facebook.com/groups/332200478875/,president@marquetteareabluessociety.org,marquettearea.jpg,Y
US,MA,East Wareham,Massachusetts Blues Society,http://massblues.org,https://facebook.com/groups/86243487340/,president@massblues.org,massachusetts.jpg,Y
MR,,La Gaulette,Mauritius Blues Society,http://mauritius-blues-society.com,https://facebook.com/mauritius.blues.society,chris.evol.prod@gmail.com,mauritius.jpg,N
AU,Victoria,Williamstown,Melbourne Blues Appreciation Society,http://mbas.org.au,https://facebook.com/Melbourne-Blues-Appreciation-Society-108100739233768,president@mbas.org.au,melbourne.jpg,Y
US,Tennessee,Memphis,Memphis Blues Society,http://memphisbluessociety.com,https://facebook.com/memphisbluessociety,president@memphisbluessociety.com,memphis.jpg,Y
US,New Mexico,Las Cruces,Mesilla Valley Jazz & Blues Society,http://mvjazzblues.net,https://facebook.com/mesillavalleyjazzandbluessociety,mvjbs.mail@gmail.com,mesillavalley.jpg,N
US,Colorado,Aurora,Mile High Blues Society,http://milehighbluessociety.com,https://facebook.com/TheMileHighBluesSociety,info@milehighbluessociety.com,milehighblues.jpg,Y
US,Minnesota,Minneapolis,Minnesota Blues Society,http://mnbs.org,https://facebook.com/MnBluesSociety,Info@MnBS.org,minnesota.jpg,Y
US,Mississippi,Indianola,Mississippi Delta Blues Society of Indianola,http://indianolabluessociety.org,https://facebook.com/Mississippi-Delta-Blues-Society-of-Indianola-Inc-405540127624,info@indianolablues.org,indianola.jpg,Y
US,Iowa,Davenport,Mississippi Valley Blues Society,http://mvbs.org,https://facebook.com/TheMississippiValleyBluesSociety,kristy@muddys.info,mississipivalley.jpg,Y
US,Missouri,Jefferson City,MO Blues Association,http://moblues.org,https://facebook.com/mobluesmissouri,webmaster@moblues.org,moblues.jpg,Y
US,New York,New Hartford,Mohawk Valley Blues Society,http://mvblues.org,https://facebook.com/Mohawk-Valley-Blues-Society-285221604984,bjmolinaro@aol.com,mohawkvalley.jpg,N
IT,,Rome,Mojo Station,http://mojostation.net,https://facebook.com/MojoStation,info@mojostation.net,mojostation.jpg,Y
CA,Quebec,Montreal,Montreal Blues Society,http://bluesmontreal.com,https://facebook.com/MontrealBluesSociety,zeb@vl.videotron.ca,montreal.jpg,Y
US,North Dakota,Bismark,Muddy River Blues Society,,https://facebook.com/Muddy-River-Blues-Society-226007500756910,muddyriverblues@hotmail.com,muddyriver.jpg,N
CA,British Columbia,Nanaimo,Nanaimo Blues Society,http://nanaimoblues.ca,https://facebook.com/NanaimoBluesSociety,info@nanaimoblues.ca,nanaimo.jpg,N
US,Tennessee,Nashville,Nashville Blues Society,http://nashvillebluessociety.org,https://facebook.com/Nashville-Blues-Society-129611627049140,info@nashvillebluessociety.org,nashville.jpg,Y
US,Virginia,Norfolk,Natchel Blues Network,http://natchelblues.org,https://facebook.com/NatchelBluesNetwork,president@natchelblues.org,natchel.jpg,Y
US,Louisiana,Marrero,New Orleans Blues Society,http://neworleansbluessociety.com,https://facebook.com/neworleansbluessociety,info@neworleansbluessociety.com,neworleans.jpg,Y
UK,England,Norfolk,Norfolk Blues Society,http://norfolkbluessociety.org.uk,https://facebook.com/norfolkbluessociety.eastanglia,,norfolk.jpg,N
NO,,Oslo,Norsk Blues Union,http://norskbluesunion.no,https://facebook.com/Norsk-Bluesunion-NBU-Norwegian-Blues-Union-274781645875476,post@norskbluesunion.no,norsk.jpg,Y
US,Florida,Gainesville,North Central Florida Blues Society,http://ncfblues.org,https://facebook.com/North-Central-Florida-Blues-Society-23953302288,myname_isrob@yahoo.com,northcentralflorida.jpg,Y
US,Ohio,Alliance,Northeast Ohio Blues Association,http://bluesneoba.org,https://facebook.com/bluesNEOBA,neobablue@yahoo.com,northeastohio.jpg,Y
US,Arizona,Sedona,Northern Arizona Blues Alliance,,https://facebook.com/Northernarizonabluesalliance,NAZBA@northernarizonabluesalliance.org,northernarizona.jpg,Y
AU,WA,Duncraig,Northern Blues N Roots WA,http://northernbluesnrootswa.net,https://facebook.com/NorthernBluesNRootsWa/,cromb@tpg.com.au,northernbluesnroots.jpg,N
US,New York,New York,NYC Blues Society,http://nyblues.org,https://facebook.com/NYC-Blues-Society-162955323739522,,nyc.jpg,N
CA,British Columbia,Kelowna,Okanagan Jazz & Blues Society,http://okanaganjazzblues.org,,,okanagan.jpg,N
US,Oklahoma,Oklahoma City,Oklahoma Blues Society,http://okblues.org,https://facebook.com/okblues,obs@okblues.org,oklahoma.jpg,Y
