Title,HomePage,Facebook,Email,Locality,AdminDistrict,CountryRegion,Latitude,Longitude,LogoFileName,BFMember
Bidgee Blues,,facebook.com/bidgee.blues,,Wagga Wagga,NSW,Australia,-35.13,147.29,bidgee.jpg,N
Pomeroy Blues & Jazz Society,,facebook.com/Bigbendbluesbash,jackie.welker@gmail.com,Pomeroy,Ohio,US,39.03,-82.03,pomeroy.jpg,Y
Big Bend Blues Society,bigbendblues.wix.com/society,facebook.com/Big-Bend-Blues-Society-906774669396708/,bigbendblues@yahoo.com,Tallahassee,Florida,US,30.46,-84.39,bigbend.jpg,N
Billtown Blues Association,billtownblues.org,facebook.com/billtownblues,bmtallman@aol.com,Hughesville,Pennsylvania,US,41.24,-76.72,billtownblues.jpg,Y
Black Hills Blues Society,,facebook.com/Blackhillsblues,,Rapid City,South Dakota,US,44.06,-103.29,blackhills.jpg,N
Black Swamp Blues Society,blackswampbluessociety.org,facebook.com/Black-Swamp-Blues-Society-211604995681680,blackswampbluessociety@gmail.com,Toledo,Ohio,US,41.65,-83.54,blackswamp.jpg,Y
Blue Heart Blues,blueheartblues.com,facebook.com/BlueHeartBlues/,,Halmstad,,Sweden,56.6767,12.8647,blueheart.jpg,N
Blues GR,blues.gr,facebook.com/Blues.Gr,,Athens,,Greece,37.99,23.7,bluesgr.jpg,N
Blues Alliance of the Treasure Coast,bluesalliance.org,facebook.com/bluesalliance,pattivibraphone@aol.com,Port Saint Lucie,Florida,US,27.27,-80.36,treasurycoast.jpg,Y
Blues Asia Network,,facebook.com/BluesAsia,bluesasia@gmail.com,Makati,,Philippines,14.55,120.99,bluesasia.jpg,N
Blues Association of South East Queensland,baseqbrisbane.com,facebook.com/Blues-Association-of-South-East-Queensland-122699901086033,president@baseqbrisbane.com,Indooroopilly Centre,Queensland,Australia,-27.5,152.98,southqueensland.jpg,N
Blues Blowtorch Society,bluesblowtorch.org,facebook.com/BluesBlowtorchSociety,SteveTheHarp@aol.com,Bloomington,Illinois,US,40.49,-89,bluesblowtorch.jpg,Y
Blues Club Luxembourg,bluesclub.lu,facebook.com/Blues-Club-Letzebuerg-288866297797768,ralphson@bluesclub.lu,Heisdorf,,Luxembourg,49.67,6.14,letzebuerg.jpg,N
Egyptian Blues Society,,facebook.com/BluesEgy,,Cairo,,Egypt,30.05,31.18,egyptian.jpg,N
Baltic Blues,bluesfest-eutin.de,facebook.com/Bluesfest-Eutin-1537652706508629/,kreativkonkret@t-online.de,Eutin,,Germany,54.15,10.47,eutin.jpg,N
Hamilton Blues Lovers,blueshamilton.blogspot.com,facebook.com/blueshamilton,blueshamilton@gmail.com,Hamilton,Ontario,CA,42.99,-79.45,hamiltonblueslovers.jpg,N
Northeast Ohio Blues Association,bluesneoba.org,facebook.com/bluesNEOBA,neobablue@yahoo.com,Alliance,Ohio,US,40.92,-81.11,northeastohio.jpg,Y
Capital Region Blues Network,crbn.org,facebook.com/bluesnetwork,bob@crbn.org,Albany,New York,US,42.65,-73.76,capitalregion.jpg,Y
Blues por Argentina,,facebook.com/BluesPorArgentina/,,Buenos Aires,,Argentina,-37.056,-64.519,argentina.jpg,N
Blues Appreciation Society - MX Chapter,,facebook.com/BluesRockMX/,,Ixtapa-Zihuatanejo,,Mexico,17.64,-101.56,Ixtapa.jpg,N
Western New York Blues Society,wnyblues.org,facebook.com/bluessociety.wny,support@wnyblues.org,Buffalo,New York,US,42.89,-78.88,westernnewyorkblues.jpg,Y
Blues Music Society Ireland,,facebook.com/bluessocietyireland,,Enniscorthy,,Ireland,52.5,-6.58,ireland.jpg,N
Blues Society of Northwest Florida,,facebook.com/BluesSocietyNWFL,bandmaster309@gmail.com,Pensacola,Florida,US,30.42,-87.22,northwestflorida.jpg,Y
Blues Society of Omaha,omahablues.com,facebook.com/BluesSocietyOfOmaha,hebegb50@gmail.com,Omaha,Nebraska,US,41.26,-95.94,bluessocietyofomaha.jpg,Y
Blues Society of the Ozarks,bluessocietyoftheozarks.com,facebook.com/BluesSocietyOfTheOzarks,brendaseely56@gmail.com,Springfield,Missouri,US,37.21,-93.29,bluessocietyoftheozarks.jpg,Y
Lake of the Ozarks Blues Society,bluessocietyoftheozarks.com,facebook.com/BluesSocietyOfTheOzarks,news@lotobs.org,Camdenton,Missouri,US,38.01,-92.74,lakeoftheozarks.jpg,Y
Blues Society of Tulsa,bluessocietyoftulsa.com,facebook.com/bluessocietyoftulsa,bluessocietyoftulsa@cox.net,Tulsa,Oklahoma,US,36.15,-95.99,bluessocietyoftulsa.jpg,Y
Wiregrass Blues Society,wiregrassbluessociety.com,facebook.com/BluesWiregrass,,Dorthan,Alabama,US,31.22,-85.54,wiregrass.jpg,N
Blues Lovers United of San Diego,blusd.org,facebook.com/BLUSD.org,info@blusd.org,San Diego,California,US,32.72,-117.16,bluesloversofsandiego.jpg,Y
Boise Blues Society,boiseblues.org,facebook.com/BoiseBlues,kjharris@yahoo.com,Boise,Idaho,US,43.61,-116.19,boisebluessociety.jpg,Y
Boston Blues Society,bostonblues.com,facebook.com/Boston-Blues-Society-119292354758915,paulmcneil@msn.com,Norwood,Massachutes,US,42.2,-71.2,boston.jpg,Y
Bruce County Blues Society,brucecountyblues.com,facebook.com/Bruce-County-Blues-Society-156489257718020,r.clarke@hurontel.on.ca,Kincardine,Ontario,CA,44.18,-81.62,brucecounty.jpg,Y
Blues Society of Central Pennsylvania,bscpblues.org,facebook.com/bscpblues,Bluesmembership@gmail.com,Steelton,Pennsylvania,US,40.24,-76.84,bluessocietyofcentralpa.jpg,Y
Blues Society of Northern West Virginia,bsnwv.com,facebook.com/Bsnwv/,tasey_kevin@yahoo.com,Weirton,West Virginia,US,40.4,-80.64,northernwestvirginia.jpg,Y
Blues Society of Western Pennsylvania,bswpa.org,facebook.com/bswpa,j.weber@bswpa.org,Aliquippa,Pennsylvania,US,40.62,-80.25,westernpennsylvania.jpg,Y
Bucks County Blues Society,buckscountybluessociety.org,facebook.com/Bucks-County-Blues-Society-297898990229026,,Levittown,Pennsylvania,US,40.15,-74.88,buckscounty.jpg,Y
Buffalo River Blues Society,,facebook.com/buffaloriverbluessociety,sdchide@yahoo.com,Leslie,Arkansas,US,35.83,-92.56,buffaloriverbluessociety.jpg,Y
Capital Area Blues Society,capitalareablues.org,facebook.com/CABSblues,cabsblues@gmail.com,Okemos,Michigan,US,42.72,-84.43,capitalareablues.jpg,Y
CA South Blues Society,bluessociety.ca,facebook.com/CA-South-Blues-Museum-282470875107309,Didier@placeconcorde.org,Windsor,Ontario,CA,42.32,-83.02,CAsouth.jpg,Y
CA South Blues Society Chathem-Kent,CAsouthbluessocietyck.blogspot.ca,facebook.com/CASouthBluesSocietyChathamKent,rchristmas@xplornet.ca,Chatham-Kent,Ontario,CA,42.35,-82.35,CAsouthchathamkent.jpg,N
Canberra Blues Society,canberrabluessociety.com.au,facebook.com/canberrabluessociety,contact@canberrabluessociety.com.au,Canberra,ACT,Australia,-35.33,149.15,canberra.jpg,N
Cape Fear Blues Society,capefearblues.org,facebook.com/CapeFearBlues,info@capefearblues.org,Wilmington,North Carolina,US,34.23,-77.95,capefearblues.jpg,Y
Casa Del Bblues De Sevilla,casadelbluesdesevilla.com,facebook.com/CasaDelBluesDeSevilla,,Seville,,Spain,37.375,-6.025,seville.jpg,N
Central Delaware Blues Society,centraldelawareblues.com,facebook.com/Central-Delaware-Blues-Society-144143712661763/,centraldelawareblues@comcast.net,Magnolia,Delaware,US,39.07,-75.48,centraldeleware.jpg,Y
Central Iowa Blues Society,cibs.org,facebook.com/centraliowabluessociety,prez@cibs.org,Des Moines,Iowa,US,41.59,-93.62,centraliowablues.jpg,Y
Central Valley Blues Society,cvblues.org,facebook.com/CentralValleyBluesSociety,,Sacramento,California,US,-121.58,-121.58,centralvalley.jpg,N
Central Virginia Blues Society,centralvablues.org,facebook.com/Central-Virginia-Blues-Society-159772183506,centralvablues@gmail.com,Nellysford,Virginia,US,37.89,-78.88,centralvirginia.jpg,Y
Charleston Blues Society,,facebook.com/CHARLESTON-WEST-VIRGINIA-BLUES-SOCIETY-74572610788/,,Charleston,West Virginia,US,38.34,-81.71,charlestonwv.jpg,N
Chicago Blues Society,chicagobluessociety.org,facebook.com/chicagobluessociety,,Chicago,Illinois,US,41.83,-88.01,chicago.jpg,N
Ch'ti Blues Society,chtibluessociety.com,facebook.com/chtibluessociety,,Arras,,France,50.52,2.33,chti.jpg,N
Cincy Blues Society,cincyblues.org,facebook.com/cincyblues,info@cincyblues.org,Cincinnati,Ohio,US,39.11,-84.5,cincyblues.jpg,Y
Southern Delaware Blues Society,,facebook.com/coastalblues,,Georgetown,Deleware,US,38.68,-75.42,southerndeleware.jpg,N
Coastal Blues Society,coastalbluessociety.org,facebook.com/coastalbluessociety,mike@mikekaufmann.com,Jacksonnville,Florida,US,30.34,-82,coastal.jpg,N
Colorado Blues Society,coblues.com,facebook.com/coblues,cjc1951_44@hotmail.com,Windsor,Colorado,US,40.48,-104.9,coloradoblues.jpg,Y
Collingwood Jazz & Blues Society,collingwoodjazz.ca,facebook.com/CollingwoodJazzandBlues,info@collingwoodjazz.ca,Collingwood,Ontario,CA,44.5,-80.25,collingwood.jpg,N
Colombian Blues Society,carloselliotjr.com/CBS,facebook.com/ColombianBluesSociety,cobluessociety@yahoo.com,Cali,,Colombia,3.41,-76.72,colombianblues.jpg,Y
Columbus Blues Alliance,columbusblues.com,facebook.com/Columbus.Blues.Alliance,colsblues@gmail.com,Columbus,Ohio,US,39.96,-83,columbusblues.jpg,Y
Costa Rica Blues Society,,facebook.com/costaricablues,,Playas del Coco,,Costa Rica,9.7,-84,costarica.jpg,N
Croatian Blues Forces,croblues.com,facebook.com/CroatianBluesForces,hrepa@yahoo.com,Zagreb,,Croatia,45.8,15.95,croatianbluesforces.jpg,Y
Dayton Blues Society,daytonbluessociety.com,facebook.com/daytonbluessociety,Jeff@daytonbluessociety.com,Dayton,Ohio,US,39.76,-84.19,daytonblues.jpg,Y
Decatur Blues Society,decaturblues.org,facebook.com/Decatur-Blues-Society-271183220471,Decaturbluessociety@yahoo.com,Decatur,Illinois,US,39.85,-88.95,decatur.jpg,Y
Denver Blues Society,,facebook.com/DenverBlues,,Englewood,Colorado,US,39.64,-105.03,denver.jpg,N
Detroit Blues Society,detroitbluessociety.org,facebook.com/DetroitBluesSociety,rjspangler@detroitbluessociety.org,Goodrich,Michigan,US,42.92,-83.5,detroitblues.jpg,Y
Dutch Blues Foundation,dutchbluesfoundation.com,facebook.com/Dutch-Blues-Foundation-324874810010,office@dutchbluesfoundation.com,Leiden,,Netherlands,52.16,4.49,dutch.jpg,Y
East Coast Blues Society,eastcoastblues.ca,facebook.com/East-Coast-Blues-Society-Sunday-Jam-205569081137,info@eastcoastblues.ca,Halifax,Nova Scotia,CA,44.65,-63.59,eastcoast.jpg,Y
El Paso Blues Society,,facebook.com/El-Paso-Blues-Society-186418554727138,epbluessociety@gmail.com,El Paso,Texas,US,31.76,-106.49,elpaso.jpg,N
European Blues Union,bluesyou.com,facebook.com/europeanbluesunion,info@europeanbluesunion.com,Brussels,,Belgium,50.84,4.38,europeanbluesunion.jpg,N
Finnish Blues Society,bluesnews.fi,facebook.com/Finnish-Blues-Society-Blues-News-Magazine-116160888493616,,Helsinki,,Finland,60.16,24.76,finnish.jpg,Y
First Coast Blues Society,firstcoastbluessociety.com,facebook.com/firstcoastblues/,firstcoastbluesvp@gmail.com,Jacksonville,Florida,US,30.34,-82.28,firstcoast.jpg,Y
Fort Pierce Jazz & Blues Society,,facebook.com/Fort-Pierce-Jazz-Blues-Society-132982200067741,info@jazzsociety.org,Fort Pierce,Florida,US,27.42,-80.41,fortpierce.jpg,N
Fort Smith Riverfront Blues Society,,facebook.com/FortSmithRiverfrontBluesFestival,fsmbluesfest@gmail.com,Fort Smith,Arkansas,US,35.38,-94.42,ftsmithriverfront.jpg,Y
France Blues,franceblues.com,facebook.com/franceblues/,president@franceblues.com,Mantes la Jolie,,France,48.99,1.67,france.jpg,Y
Fraser Valley Blues Society,fraservalleybluessociety.com,facebook.com/fraservalleybluessociety,info@fraservalleybluessociety.com,Abbotsford,British Columbia,CA,49.087,-122.407,fraservalley.jpg,Y
Fredericksburg Blues Society,,facebook.com/FredericksburgBluesSociety,fredbluesorg@gmail.com,Fredericksburg,Virginia,US,38.29,-77.52,fredericksburg.jpg,N
Flathead Valley Blues Society,flatheadvalleyblues.org/,facebook.com/FVBSMissoula,,Kalispell,Montana,US,48.2,-114.39,flatheadvalley.jpg,N
Gothenburg Blues Society,gbgblues.se,facebook.com/G%C3%B6teborgs-Bluesf%C3%B6rening-official-210706285629363/,,Gothenburg,,Sweden,57.7,12.1,gothenburg.jpg,N
Grand County Blues Society,grandblues.org,facebook.com/grandcountyblues,info@grandblues.org,Winter Park,Colorado,US,39.92,-105.78,grandcounty.jpg,Y
Grand River Blues Society,grandriverblues.org,facebook.com/Grand-River-Blues-Society-408160155868047,info@grandriverblues.org,Waterloo,Ontario,CA,43.51,-80.55,grandriver.jpg,Y
Granite State Blues Society,granitestateblues.org,facebook.com/GraniteStateBlues,info@granitestateblues.org,Bedford,New Hampshire,US,42.95,-71.52,granitestate.jpg,Y
Greater Ozarks Blues Society,,facebook.com/GreaterOzarksBluesSociety,nathancogden@gmail.com,West Plaines,Missouri,US,36.74,-91.93,greaterozarks.jpg,N
Great Lakes Blues Society,greatlakesbluessociety.com,facebook.com/Great-Lakes-Blues-Society-London-Ontario-707088229348776,david@greatlakesbluessociety.com,London,Ontario,CA,42.99,-81.25,greatlakes.jpg,Y
Great Northern Blues Society,gnbs.org,facebook.com/Great-Northern-Blues-Society-201681787010,gnbs@gnbs.org,Wausau,Wisconsin,US,44.96,-89.63,greatnorthern.jpg,Y
Outlaw Blues Society - Greece Chapter,,facebook.com/GreeceOutlawBluesSociety/,,Athens,,Greece,37.99,23.76,outlawgreece.jpg,N
Pictou County Blues Society,pictoucountyblues.com,facebook.com/groups/126224327443861/,PictouCountyBlues@hotmail.ca,Pictou,Nova Scotia,CA,45.55,-62.9,pictou.jpg,N
Central Mississippi Blues Society,centralmississippibluessociety.com,facebook.com/groups/134758873254380/,prblues@comcast.net,Jackson,Mississippi,US,32.3,-90.18,centralmississippi.jpg,Y
Illinois Central Blues Club,icbluesclub.org,facebook.com/groups/175620630362/,mikerapier@sbcglobal.net,Springfield,Illinois,US,39.8,-89.64,illinoiscentral.jpg,Y
Edmonton Blues Society,edmontonbluessociety.net,facebook.com/groups/18944666912/,president@EdmontonBluesSociety.net,Edmonton,Alberta,CA,53.45,-113.51,edmonton.jpg,Y
Greater Allen County Blues Society,,facebook.com/groups/235973476460482/,,Lima,Ohio,US,40.74,-84.18,allen.jpg,N
Cleveland Blues Society,clevelandblues.org,facebook.com/groups/243332670477/,blues@clevelandblues.org,Broadview Hts.,Ohio,US,41.33,-81.68,clevelandblues.jpg,Y
Connecticut Blues Society,ctblues.org,facebook.com/groups/297066571782/,jakecat39@gmail.com,Enfield,Connecticut,US,41.5,-72.55,connecticut.jpg,Y
B'Sharp Silkeborg Rhythm & Blues Association,bsharp.dk,facebook.com/groups/30273274163,,Silkeborg,,Denmark,56.18,9.42,silkeborg.jpg,Y
Marquette Area Blues Society,marquetteareabluessociety.com,facebook.com/groups/332200478875/,president@marquetteareabluessociety.org,Marquette,Michigan,US,46.55,-87.41,marquettearea.jpg,Y
Houston Blues Society,houstonbluessociety.org,facebook.com/groups/349570915928,info@houstonbluessociety.org,Houston,Texas,US,29.76,-95.37,houston.jpg,Y
Diamond State Blues Society,diamondstateblues.com,facebook.com/groups/370701902486/,mrbluz2@aol.com,Middletown,Delaware,US,39.44,-75.74,diamondstate.jpg,Y
Lehigh Valley Blues Network,lvbn.org,facebook.com/groups/375847779376/,info@lvbn.org,Leigh Valley,Pennsylvania,US,40.6,-75.47,lehighvalley.jpg,N
Sault Blues Society,saultblues.com,facebook.com/groups/379013953277,,Sault Ste. Marie,Ontario,CA,46.53,-84.54,sault.jpg,N
Blues On Daa Stoazze,bluesoandaastoazze.com,facebook.com/groups/44272759165/,,Brussels,,Belgium,51.08,3.57,stoazze.jpg,N
Charlotte Blues Society,charlottebluessociety.org,facebook.com/groups/58888876959/,rick@charlottebluessociety.org,Charlotte,North Carolina,US,35.22,-80.84,charlotte.jpg,Y
Blue Ridge Blues Society,blueridgeblues.org,facebook.com/groups/76979827804/,bellablue22@verizon.net,Roanoke,Virginia,US,37.27,-79.94,blueridge.jpg,Y
Las Vegas Blues Society,lasvegasblues.org/,facebook.com/groups/789569637802971/,,Las Vegas,Nevada,US,36.12,-115.31,lasvegas.jpg,Y
Massachusetts Blues Society,massblues.org,facebook.com/groups/86243487340/,president@massblues.org,East Wareham,MA,US,41.76,-70.68,massachusetts.jpg,Y
Austin Blues Society,austinbluessociety.org,facebook.com/groups/austinbluessociety/,ed.matyas@austinbluessociety.org,Austin,Texas,US,30.27,-97.74,austin.jpg,Y
Blues Society on Taiwan,,facebook.com/groups/bsotaiwan,dcr.bsot@gmail.com,Taipei,,Taiwan,25.05,121.52,bluessocietyoftawain.jpg,Y
Cascade Blues Association,cascadebluesassociation.org,facebook.com/groups/cascadebluesassociation/,slimlively@comcast.net,Portland,Oregon,US,45.51,-122.68,cascadeblues.jpg,Y
Crossroads Blues Society of Illinois,crossroads.myfreesites.net,facebook.com/groups/crossroadsbluessociety/,sub_insignia@yahoo.com,Byron,Illinois,US,42.12,-89.29,crossroads.jpg,Y
Trinity River Blues Society,trinityriverblues.com,facebook.com/groups/dfwbs/,lindaburkhart@hotmail.com,Dallas,Texas,US,32.82,-97.01,trinityriver.jpg,N
Kingston Blues Society,kingstonbluessociety.ca,facebook.com/groups/kingstonbluessociety,,Kingston,Ontario,CA,44.34,-76.61,kingston.jpg,N
Kentucky Blues Society,kentuckyblues.com,facebook.com/groups/kyblues/,kyblues@gmail.com,Bowling Green,Kentucky,US,36.99,-86.45,kentucky.jpg,Y
Manitoba Blues Society,,facebook.com/groups/Manitobablues/,,Winnipeg,Manitoba,CA,49.85,-97.29,manitoba.jpg,N
Gulf Coast Blues Society,,facebook.com/Gulf-Coast-Blues-Society-136012861121,Gcbluessoc@gmail.com,Spanish Ft,Alabama,US,30.68,-87.87,gulfcoast.jpg,Y
Hamilton Blues Society,,facebook.com/HamiltonBluesSociety,bigjohnnyblue13@gmail.com,Hamilton,Ontario,CA,43.26,-80.21,hamiltonbluessociety.jpg,N
Hamilton Blues Society,,facebook.com/Hamilton-Blues-Society-NZ-156781281003675,,Hamilton,,New Zealand,-37.82,174.92,hamiltonbluesnz.jpg,N
Hawaii Blues Society,,facebook.com/HawaiiBluesSociety,,Honolulu,Hawaii,US,21.32,-157.86,hawaii.jpg,N
Huntington Blues Society,huntingtonbluessociety.com,facebook.com/HuntingtonBluesSociety/,contact@huntingtonbluessociety.com,Barboursville,West Virginia,US,38.4,-82.37,huntington.jpg,Y
Illowa Women in Blues,,facebook.com/illowawomeninblues/,,Davenport,Iowas,US,41.54,-90.72,illowa.jpg,N
Indiana Blues Preservation Society,,facebook.com/IndianaBluesLLC,,Shelbyville,Indiana,US,39.54,-85.84,indianabluespreservation.jpg,N
Indy Crossroads Blues Society,,facebook.com/IndianaBluesSociety,peastham3@gmail.com,Noblesville,Indiana,US,40.04,-86.04,indiana.jpg,Y
Inland Empire Blues Society,ieblues.org,facebook.com/Inland-Empire-Blues-Society-102287286509896,dejablues1@comcast.net,Spokane,Washington,US,47.66,-117.41,inlandempire.jpg,Y
Irish Blues & Jazz Appreciation Society,,facebook.com/IrishBluesJazz,,Dublin,,Ireland,53.32,-6.38,irelandjazzblues.jpg,N
Israel Blues Society,,facebook.com/IsraelBluesSociety,,Tel Aviv,,Israel,32.1,34.66,israel.jpg,Y
Jersey Shore Jazz and Blues Foundation,jsjbf.org,facebook.com/JSJBF,info@jsjbf.org,Red Bank,New Jersey,US,40.35,-74.07,jerseyshore.jpg,Y
Jus' Blues Music Foundation,jusblues.org/,facebook.com/Jus-Blues-Music-Foundation-116657152852/,,Atlanta,Georgia,US,33.76,-84.56,jusblues.jpg,N
Kansas City Blues Society,,facebook.com/kansascitybluessociety,kcbluessociety@gmx.com,Kansas City,Missouri,US,39.1,-94.58,kansascity.jpg,Y
Karawang Blues Society,,facebook.com/karawangbluessociety,,Karawang,,Indonesia,-6.26,107.08,karawang.jpg,N
Kentuckiana Blues Society,kbsblues.org,facebook.com/KBSBlues,info@kbsblues.org,Louisville,Kentucky,US,38.25,-85.77,kentuckiana.jpg,Y
Kern River Blues Society,,facebook.com/Kern-River-Blues-Society-179851418545,kernriverbluessociety@gmail.com,Bakersfield,California,US,35.32,-119.15,kernriver.jpg,N
Kootenay Blues Society,,facebook.com/kootenaybluessociety,,Nelson,British Columbia,CA,49.49,-117.32,kootenay.jpg,N
Kalamazoo Valley Blues Association,kvba.org,facebook.com/Kzooblues,kvba@kvba.org,Kalamazoo,Michigan,US,42.29,-85.59,kallamazoo.jpg,Y
Lake Cumberland Blues Society,lakecumberlandbluessociety.com,facebook.com/lakecumberlandbluessociety,Ron@lakecumberlandbluessociety.com,Somerset,Kentucky,US,37.07,-84.64,lakecumberland.jpg,N
Latvian Blues Appreciation Society,,facebook.com/Latblues/,,Liepāja,,Latvia,56.53,20.89,latvian.jpg,N
Launceston Blues Club,launcestonbluesclub.org,facebook.com/Launceston.Blues.Club/,launcestonbluesclub@yahoo.com.au,Launceston,Tasmania,Australia,-41.4333,147.1263,launceston.jpg,N
Linn County Blues Society,lcbs.org,facebook.com/LinnCountyBluesSociety,,Cedar Rapids,Iowa,US,41.96,-91.8,linncounty.jpg,Y
Lizard Creek Blues Society,lizardcreekblues.org,facebook.com/lizardcreekblues,bobwood@frontiernet.net,Fort Dodge,Iowa,US,42.5,-94.18,lizardcreek.jpg,Y
Long Island Blues Society,libsny.com,facebook.com/LongIslandBluesSociety,info@liblues.org,Centereach,New York,US,40.86,-73.08,longisland.jpg,Y
Los Angeles Blues Society,lablues.org,facebook.com/Los-Angeles-Blues-Society-202651736125,info@lablues.org,South El Monte,California,US,34.05,-118.04,losangeles.jpg,N
Lowcountry Blues Club,lowcountrybluesclub.blogspot.com,facebook.com/LowcountryBluesClub,lowcountrybluesclub@gmail.com,Charleston,South Carolina,US,32.78,-79.93,lowcountry.jpg,Y
Loyal Blues Fellowship,loyalblues.ca,facebook.com/Loyal-Blues-Fellowship-Inc-116422155101492,festival@loyalblues.ca,Carrying Place,Ontario,CA,44.05,-77.58,loyalblues.jpg,N
Madison Blues Society,madisonbluessociety.com,facebook.com/Madison-Blues-Society-239198072823140,info@madisonbluessociety.com,Madison,Wisconsin,US,43.04,-89.4,madison.jpg,Y
Magic City Blues Society,magiccityblues.org,facebook.com/MagicCityBluesSociety,info@magiccityblues.org,Birmingham,Alabama,US,33.52,-86.81,magiccity.jpg,Y
Maine Blues Society,mainebluessociety.com,facebook.com/MaineBluesSociety,mainebluessoc@gmail.com,Portland,Maine,US,43.66,-70.26,maine.jpg,Y
Mauritius Blues Society,mauritius-blues-society.com,facebook.com/mauritius.blues.society,chris.evol.prod@gmail.com,La Gaulette,,Mauriti,-20.42,57.35,mauritius.jpg,N
Melbourne Blues Appreciation Society,mbas.org.au,facebook.com/Melbourne-Blues-Appreciation-Society-108100739233768,president@mbas.org.au,Williamstown,Victoria,Australia,-37.86,144.9,melbourne.jpg,Y
Memphis Blues Society,memphisbluessociety.com,facebook.com/memphisbluessociety,president@memphisbluessociety.com,Memphis,Tennessee,US,35.2,-90.1,memphis.jpg,Y
Mesilla Valley Jazz & Blues Society,mvjazzblues.net,facebook.com/mesillavalleyjazzandbluessociety,mvjbs.mail@gmail.com,Las Cruces,New Mexico,US,32.34,-106.95,mesillavalley.jpg,N
Mississippi Delta Blues Society of Indianola,indianolabluessociety.org,facebook.com/Mississippi-Delta-Blues-Society-of-Indianola-Inc-405540127624,info@indianolablues.org,Indianola,Mississippi,US,33.45,-90.68,indianola.jpg,Y
Minnesota Blues Society,mnbs.org,facebook.com/MnBluesSociety,Info@MnBS.org,Minneapolis,Minnesota,US,44.98,-93.26,minnesota.jpg,Y
MO Blues Association,moblues.org,facebook.com/mobluesmissouri,webmaster@moblues.org,Jefferson City,Missouri,US,38.6,-92.16,moblues.jpg,Y
Mohawk Valley Blues Society,mvblues.org,facebook.com/Mohawk-Valley-Blues-Society-285221604984,bjmolinaro@aol.com,New Hartford,New York,US,43.07,-75.29,mohawkvalley.jpg,N
Mojo Station,mojostation.net,facebook.com/MojoStation,info@mojostation.net,Rome,,Italy,41.91,12.25,mojostation.jpg,Y
Montreal Blues Society,bluesmontreal.com,facebook.com/MontrealBluesSociety,zeb@vl.videotron.ca,Montreal,Quebec,CA,45.52,-73.55,montreal.jpg,Y
Muddy River Blues Society,,facebook.com/Muddy-River-Blues-Society-226007500756910,muddyriverblues@hotmail.com,Bismark,North Dakota,US,46.8,-100.83,muddyriver.jpg,N
Nanaimo Blues Society,nanaimoblues.ca,facebook.com/NanaimoBluesSociety,info@nanaimoblues.ca,Nanaimo,British Columbia,CA,49.17,-124.07,nanaimo.jpg,N
Nashville Blues Society,nashvillebluessociety.org,facebook.com/Nashville-Blues-Society-129611627049140,info@nashvillebluessociety.org,Nashville,Tennessee,US,36.05,-86.8,nashville.jpg,Y
